Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
77,Maze128,AStar,5,Timeout,180.00,490,500,1.9,6,6,801,0,2130,448
78,Maze128,AStar,6,Timeout,180.00,490,500,2.0,6,6,828,0,1986,402
79,Maze128,PIBT,1,Timeout,180.00,491,500,1.8,6,6,908,0,92,402
80,Maze128,PIBT,2,Timeout,180.00,490,500,1.9,6,6,956,0,101,452
81,Maze128,PIBT,3,Timeout,180.00,491,500,1.8,6,6,861,0,79,469
82,Maze128,PIBT,4,Timeout,180.00,489,500,2.1,6,6,910,0,77,461
83,Maze128,PIBT,5,Timeout,180.00,489,500,2.1,6,6,978,0,61,348
84,Maze128,PIBT,6,Timeout,180.00,490,500,2.0,6,6,954,0,78,331
85,Maze128,PIBT_TCP,1,Timeout,180.00,491,500,1.8,6,6,821,0,2779,383
86,Maze128,PIBT_TCP,2,Timeout,180.00,489,500,2.2,6,6,824,0,4170,387
87,Maze128,PIBT_TCP,3,Timeout,180.00,490,500,2.0,6,6,803,0,3532,453
88,Maze128,PIBT_TCP,4,Timeout,180.00,491,500,1.8,6,6,817,0,4216,480
89,Maze128,PIBT_TCP,5,Timeout,180.00,491,500,1.9,6,6,828,0,3393,329
90,Maze128,PIBT_TCP,6,Timeout,180.00,491,500,1.9,6,6,827,0,4303,430
91,Alpha32,AStar,1,EagleDestroyed,23.57,-1,500,0.0,12,12,286,0,3331,84
92,Alpha32,AStar,2,EagleDestroyed,24.28,-1,500,0.0,12,12,307,0,3196,119
93,Alpha32,AStar,3,EagleDestroyed,24.02,-1,500,0.0,12,12,307,0,3658,101
94,Alpha32,AStar,4,EagleDestroyed,24.28,-1,500,0.0,12,12,292,0,2974,97
95,Alpha32,AStar,5,EagleDestroyed,24.04,-1,500,0.0,12,12,290,0,4002,90
96,Alpha32,AStar,6,EagleDestroyed,24.31,-1,500,0.0,12,12,309,0,4451,97
97,Alpha32,PIBT,1,EagleDestroyed,22.55,-1,500,0.0,12,12,432,0,2851,85
98,Alpha32,PIBT,2,EagleDestroyed,22.59,-1,500,0.0,12,12,465,0,2544,87
99,Alpha32,PIBT,3,EagleDestroyed,22.41,-1,500,0.0,12,12,327,0,2249,100
100,Alpha32,PIBT,4,EagleDestroyed,22.64,-1,500,0.0,12,12,447,0,1773,82
101,Alpha32,PIBT,5,EagleDestroyed,22.67,-1,500,0.0,12,12,385,0,2443,108
102,Alpha32,PIBT,6,EagleDestroyed,22.88,-1,500,0.0,12,12,381,0,2594,94
103,Alpha32,PIBT_TCP,1,EagleDestroyed,25.49,-1,500,0.0,12,12,338,0,10078,178
104,Alpha32,PIBT_TCP,2,EagleDestroyed,23.10,-1,500,0.0,12,12,371,0,15351,193
105,Alpha32,PIBT_TCP,3,EagleDestroyed,26.50,-1,500,0.0,12,12,344,0,16614,189
106,Alpha32,PIBT_TCP,4,EagleDestroyed,25.22,-1,500,0.0,12,12,364,0,15021,208
107,Alpha32,PIBT_TCP,5,EagleDestroyed,24.08,-1,500,0.0,12,12,405,0,14601,199
108,Alpha32,PIBT_TCP,6,EagleDestroyed,24.47,-1,500,0.0,12,12,374,0,13646,169
109,Mansion,AStar,1,EagleDestroyed,87.24,-1,500,0.0,12,12,1170,0,444,402
110,Mansion,AStar,2,EagleDestroyed,89.68,-1,500,0.0,12,12,1089,0,393,363
111,Mansion,AStar,3,EagleDestroyed,87.81,-1,500,0.0,12,12,1100,0,410,400
112,Mansion,AStar,4,EagleDestroyed,89.22,-1,500,0.0,12,12,1109,0,428,368
113,Mansion,AStar,5,EagleDestroyed,88.77,-1,500,0.0,12,12,1020,0,418,361
114,Mansion,AStar,6,EagleDestroyed,88.92,-1,500,0.0,12,12,1096,0,491,375
115,Mansion,PIBT,1,EagleDestroyed,114.99,-1,500,0.0,12,12,1184,0,102,356
116,Mansion,PIBT,2,EagleDestroyed,114.62,-1,500,0.0,12,12,1020,0,81,381
117,Mansion,PIBT,3,EagleDestroyed,115.93,-1,500,0.0,12,12,1424,0,75,338
118,Mansion,PIBT,4,EagleDestroyed,114.58,-1,500,0.0,12,12,1087,0,87,361
119,Mansion,PIBT,5,EagleDestroyed,118.51,-1,500,0.0,12,12,1340,0,85,415
120,Mansion,PIBT,6,EagleDestroyed,115.03,-1,500,0.0,12,12,1534,0,86,417
121,Mansion,PIBT_TCP,1,EagleDestroyed,89.35,-1,500,0.0,12,12,1271,0,1627,761
122,Mansion,PIBT_TCP,2,EagleDestroyed,92.34,-1,500,0.0,12,12,1285,0,1392,883
123,Mansion,PIBT_TCP,3,EagleDestroyed,93.12,-1,500,0.0,12,12,1167,0,1959,838
124,Mansion,PIBT_TCP,4,EagleDestroyed,89.67,-1,500,0.0,12,12,1161,0,1132,753
125,Mansion,PIBT_TCP,5,EagleDestroyed,90.06,-1,500,0.0,12,12,1269,0,1731,849
126,Mansion,PIBT_TCP,6,EagleDestroyed,89.00,-1,500,0.0,12,12,1275,0,1601,882
127,Chantry,AStar,1,EagleDestroyed,83.88,-1,500,0.0,12,12,1098,0,851,451
128,Chantry,AStar,2,EagleDestroyed,83.05,-1,500,0.0,12,12,1118,0,740,333
129,Chantry,AStar,3,EagleDestroyed,83.11,-1,500,0.0,12,12,1154,0,584,564
130,Chantry,AStar,4,EagleDestroyed,84.69,-1,500,0.0,12,12,1014,0,470,516
131,Chantry,AStar,5,EagleDestroyed,83.62,-1,500,0.0,12,12,1156,0,628,478
132,Chantry,AStar,6,EagleDestroyed,83.28,-1,500,0.0,12,12,1043,0,743,402
133,Chantry,PIBT,1,EagleDestroyed,106.56,-1,500,0.0,12,12,1384,0,109,426
134,Chantry,PIBT,2,EagleDestroyed,106.33,-1,500,0.0,12,12,1008,0,99,499
135,Chantry,PIBT,3,EagleDestroyed,104.58,-1,500,0.0,12,12,1143,0,88,517
136,Chantry,PIBT,4,EagleDestroyed,105.74,-1,500,0.0,12,12,1220,0,81,377
137,Chantry,PIBT,5,EagleDestroyed,105.46,-1,500,0.0,12,12,1122,0,75,421
138,Chantry,PIBT,6,EagleDestroyed,108.07,-1,500,0.0,12,12,1028,0,75,503
139,Chantry,PIBT_TCP,1,EagleDestroyed,84.47,-1,500,0.0,12,12,1272,0,2224,717
140,Chantry,PIBT_TCP,2,EagleDestroyed,86.14,-1,500,0.0,12,12,1299,0,2674,875
141,Chantry,PIBT_TCP,3,EagleDestroyed,96.33,-1,500,0.0,12,12,1162,0,1947,876
142,Chantry,PIBT_TCP,4,EagleDestroyed,89.56,-1,500,0.0,12,12,1207,0,2155,859
143,Chantry,PIBT_TCP,5,EagleDestroyed,89.96,-1,500,0.0,12,12,1223,0,2525,883
144,Chantry,PIBT_TCP,6,EagleDestroyed,84.56,-1,500,0.0,12,12,1317,0,2477,907
145,Gallows,AStar,1,EagleDestroyed,100.85,-1,500,0.0,12,12,1335,0,320,379
146,Gallows,AStar,2,EagleDestroyed,101.39,-1,500,0.0,12,12,1183,0,283,365
147,Gallows,AStar,3,EagleDestroyed,102.25,-1,500,0.0,12,12,1302,0,346,468
148,Gallows,AStar,4,EagleDestroyed,101.68,-1,500,0.0,12,12,1360,0,342,397
149,Gallows,AStar,5,EagleDestroyed,102.69,-1,500,0.0,12,12,1245,0,357,403
150,Gallows,AStar,6,EagleDestroyed,103.49,-1,500,0.0,12,12,1325,0,294,378
151,Gallows,PIBT,1,EagleDestroyed,118.55,-1,500,0.0,12,12,1540,0,76,431
152,Gallows,PIBT,2,EagleDestroyed,119.55,-1,500,0.0,12,12,1394,0,74,339
153,Gallows,PIBT,3,EagleDestroyed,117.23,-1,500,0.0,12,12,1342,0,69,396
154,Gallows,PIBT,4,EagleDestroyed,112.26,-1,500,0.0,12,12,1022,0,114,370
155,Gallows,PIBT,5,EagleDestroyed,114.95,-1,500,0.0,12,12,1191,0,86,418
156,Gallows,PIBT,6,EagleDestroyed,122.37,-1,500,0.0,12,12,1228,0,90,437
157,Gallows,PIBT_TCP,1,EagleDestroyed,109.87,-1,500,0.0,12,12,1019,0,1606,1005
158,Gallows,PIBT_TCP,2,EagleDestroyed,108.54,-1,500,0.0,12,12,1419,0,1390,961
159,Gallows,PIBT_TCP,3,EagleDestroyed,108.16,-1,500,0.0,12,12,1244,0,1219,870
160,Gallows,PIBT_TCP,4,EagleDestroyed,111.02,-1,500,0.0,12,12,1510,0,1488,933
161,Gallows,PIBT_TCP,5,EagleDestroyed,110.47,-1,500,0.0,12,12,1421,0,1160,828
162,Gallows,PIBT_TCP,6,EagleDestroyed,111.20,-1,500,0.0,12,12,1343,0,1142,963
163,Maze128,AStar,1,Timeout,180.00,487,500,2.7,12,12,1733,0,2026,718
164,Maze128,AStar,2,Timeout,180.00,485,500,3.0,12,12,1747,0,1930,988
165,Maze128,AStar,3,Timeout,180.00,485,500,2.9,12,12,1771,0,2219,791
166,Maze128,AStar,4,Timeout,180.00,487,500,2.7,12,12,1751,0,2276,802
167,Maze128,AStar,5,Timeout,180.00,488,500,2.3,12,12,1754,0,2135,922
168,Maze128,AStar,6,Timeout,180.00,485,500,2.9,12,12,1791,0,2310,875
169,Maze128,PIBT,1,Timeout,180.00,485,500,3.1,12,12,2078,0,90,756
170,Maze128,PIBT,2,Timeout,180.00,487,500,2.6,12,12,1915,0,91,865
171,Maze128,PIBT,3,Timeout,180.00,487,500,2.6,12,12,1969,0,63,886
172,Maze128,PIBT,4,Timeout,180.00,483,500,3.5,12,12,2007,0,109,861
173,Maze128,PIBT,5,Timeout,180.00,485,500,3.1,12,12,2056,0,82,699
174,Maze128,PIBT,6,Timeout,180.00,486,500,2.9,12,12,1905,0,70,1029
