Run,Map,Algorithm,Rep,Outcome,Duration_s,EagleHP,EagleHPMax,EagleHPLostPct,AgentCount,EnemiesAlive,TotalReplans,TotalRecoveries,TotalShots,TotalCells
83,Maze128,PIBT,5,Timeout,180.00,482,500,3.7,6,6,1463,354,0,424
84,Maze128,PIBT,6,Timeout,180.00,481,500,3.8,6,6,1423,113,0,504
85,Maze128,PIBT_TCP,1,Timeout,180.00,480,500,4.0,6,6,1629,30,0,1036
86,Maze128,PIBT_TCP,2,Timeout,180.00,479,500,4.2,6,6,1573,45,0,770
87,Maze128,PIBT_TCP,3,Timeout,180.00,482,500,3.5,6,6,1642,25,0,964
88,Maze128,PIBT_TCP,4,Timeout,180.00,482,500,3.5,6,6,1617,16,0,574
89,Maze128,PIBT_TCP,5,Timeout,180.00,479,500,4.1,6,6,1593,25,0,856
90,Maze128,PIBT_TCP,6,Timeout,180.00,481,500,3.8,6,6,1594,28,0,817
91,Alpha32,AStar,1,EagleDestroyed,43.65,-1,500,0.0,12,12,507,14,147999,153
92,Alpha32,AStar,2,EagleDestroyed,43.36,-1,500,0.0,12,12,509,18,139436,118
93,Alpha32,AStar,3,EagleDestroyed,43.20,-1,500,0.0,12,12,507,16,158272,135
94,Alpha32,AStar,4,EagleDestroyed,43.40,-1,500,0.0,12,12,503,24,162906,143
95,Alpha32,AStar,5,EagleDestroyed,43.56,-1,500,0.0,12,12,502,19,113560,117
96,Alpha32,AStar,6,EagleDestroyed,43.30,-1,500,0.0,12,12,504,18,129973,121
97,Alpha32,PIBT,1,EagleDestroyed,42.35,-1,500,0.0,12,12,469,121,98414,106
98,Alpha32,PIBT,2,EagleDestroyed,42.00,-1,500,0.0,12,12,597,46,133198,113
99,Alpha32,PIBT,3,EagleDestroyed,42.90,-1,500,0.0,12,12,597,189,100537,99
100,Alpha32,PIBT,4,EagleDestroyed,41.95,-1,500,0.0,12,12,533,147,128748,98
101,Alpha32,PIBT,5,EagleDestroyed,41.99,-1,500,0.0,12,12,425,93,152407,106
102,Alpha32,PIBT,6,EagleDestroyed,42.63,-1,500,0.0,12,12,535,167,106538,92
103,Alpha32,PIBT_TCP,1,EagleDestroyed,44.42,-1,500,0.0,12,12,1019,12,113148,193
104,Alpha32,PIBT_TCP,2,EagleDestroyed,43.76,-1,500,0.0,12,12,1031,13,151241,230
105,Alpha32,PIBT_TCP,3,EagleDestroyed,45.08,-1,500,0.0,12,12,1016,5,127609,189
106,Alpha32,PIBT_TCP,4,EagleDestroyed,46.10,-1,500,0.0,12,12,1137,7,97223,206
107,Alpha32,PIBT_TCP,5,EagleDestroyed,43.68,-1,500,0.0,12,12,1112,6,128145,204
108,Alpha32,PIBT_TCP,6,EagleDestroyed,43.85,-1,500,0.0,12,12,1140,11,135836,229
109,Mansion,AStar,1,EagleDestroyed,124.54,-1,500,0.0,12,12,2107,21,112116,610
110,Mansion,AStar,2,EagleDestroyed,124.01,-1,500,0.0,12,12,2115,28,113001,586
111,Mansion,AStar,3,EagleDestroyed,123.97,-1,500,0.0,12,12,2098,20,68737,599
112,Mansion,AStar,4,EagleDestroyed,124.37,-1,500,0.0,12,12,2094,20,111882,553
113,Mansion,AStar,5,EagleDestroyed,123.74,-1,500,0.0,12,12,2099,28,129566,624
114,Mansion,AStar,6,EagleDestroyed,122.79,-1,500,0.0,12,12,2109,28,107520,731
115,Mansion,PIBT,1,EagleDestroyed,164.71,-1,500,0.0,12,12,9822,1051,128055,517
116,Mansion,PIBT,2,EagleDestroyed,164.56,-1,500,0.0,12,12,11195,1096,102322,481
117,Mansion,PIBT,3,EagleDestroyed,171.98,-1,500,0.0,12,12,9910,950,95318,534
